AIRFOIL_LNY
1.0000298 0.0011778
0.9999538 0.0011898
0.9997262 0.0012255
0.9993468 0.0012850
0.9988158 0.0013682
0.9981333 0.0014751
0.9972996 0.0016056
0.9963149 0.0017595
0.9951796 0.0019367
0.9938938 0.0021371
0.9924581 0.0023605
0.9908729 0.0026066
0.9891386 0.0028754
0.9872557 0.0031665
0.9852249 0.0034798
0.9830467 0.0038149
0.9807217 0.0041715
0.9782507 0.0045494
0.9756344 0.0049483
0.9728737 0.0053678
0.9699692 0.0058076
0.9669219 0.0062673
0.9637328 0.0067466
0.9604027 0.0072450
0.9569326 0.0077622
0.9533237 0.0082977
0.9495769 0.0088512
0.9456934 0.0094222
0.9416745 0.0100102
0.9375212 0.0106149
0.9332348 0.0112357
0.9288166 0.0118721
0.9242680 0.0125238
0.9195903 0.0131902
0.9147849 0.0138708
0.9098533 0.0145652
0.9047969 0.0152727
0.8996173 0.0159930
0.8943161 0.0167255
0.8888947 0.0174697
0.8833550 0.0182251
0.8776984 0.0189911
0.8719268 0.0197672
0.8660419 0.0205529
0.8600455 0.0213477
0.8539393 0.0221509
0.8477252 0.0229622
0.8414051 0.0237809
0.8349809 0.0246065
0.8284546 0.0254385
0.8218280 0.0262762
0.8151033 0.0271193
0.8082824 0.0279670
0.8013675 0.0288190
0.7943605 0.0296745
0.7872637 0.0305331
0.7800792 0.0313943
0.7728091 0.0322573
0.7654557 0.0331219
0.7580211 0.0339872
0.7505077 0.0348528
0.7429178 0.0357182
0.7352535 0.0365827
0.7275173 0.0374459
0.7197115 0.0383070
0.7118385 0.0391657
0.7039006 0.0400212
0.6959003 0.0408731
0.6878399 0.0417207
0.6797221 0.0425634
0.6715491 0.0434008
0.6633236 0.0442321
0.6550479 0.0450569
0.6467247 0.0458744
0.6383564 0.0466843
0.6299456 0.0474857
0.6214949 0.0482782
0.6130068 0.0490612
0.6044840 0.0498339
0.5959289 0.0505960
0.5873443 0.0513466
0.5787327 0.0520853
0.5700968 0.0528114
0.5614392 0.0535243
0.5527625 0.0542234
0.5440695 0.0549081
0.5353626 0.0555778
0.5266447 0.0562318
0.5179183 0.0568696
0.5091862 0.0574906
0.5004509 0.0580941
0.4917153 0.0586796
0.4829818 0.0592464
0.4742533 0.0597940
0.4655323 0.0603218
0.4568216 0.0608292
0.4481238 0.0613157
0.4394416 0.0617805
0.4307776 0.0622233
0.4221345 0.0626435
0.4135150 0.0630404
0.4049216 0.0634137
0.3963570 0.0637628
0.3878239 0.0640871
0.3793248 0.0643862
0.3708624 0.0646597
0.3624392 0.0649070
0.3540579 0.0651277
0.3457210 0.0653215
0.3374310 0.0654879
0.3291906 0.0656265
0.3210022 0.0657369
0.3128683 0.0658189
0.3047915 0.0658721
0.2967743 0.0658962
0.2888190 0.0658909
0.2809282 0.0658560
0.2731042 0.0657913
0.2653496 0.0656965
0.2576665 0.0655716
0.2500575 0.0654162
0.2425248 0.0652305
0.2350708 0.0650142
0.2276977 0.0647672
0.2204079 0.0644896
0.2131045 0.0641769
0.2058413 0.0638149
0.1986719 0.0634031
0.1915986 0.0629425
0.1846239 0.0624338
0.1777500 0.0618781
0.1709791 0.0612764
0.1643137 0.0606295
0.1577558 0.0599386
0.1513076 0.0592048
0.1449713 0.0584292
